Full Name,Year,Nationality,Gender,Type of Death,Status,Job,Employed as,Organizations,Coverage,Medium,Local or Foreign?,Source of Fire,Motive Confirmed,tortured,captive,threatened,photoUrl,photoCredit
Abdiwali Ali Hassan,2020,Somalia,Male,Murder,Confirmed,"Broadcast Reporter,Camera Operator,Photographer",Freelance,"Freelance; Universal TV,  Radio Kulmiye","Human Rights,Politics,War","Radio,Television",Local,Political Group,Confirmed,No,No,Yes,,
Abdul Nasser Haj Hamdan,2020,Syria,Male,Crossfire,Confirmed,"Camera Operator,Photographer",Staff,Media Office in Binnish,"Human Rights,Politics,War",Internet,Local,Military Officials,Confirmed,,,,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Abdul_Nasser_Haj_Hamdan-02-26-2020_rs.JPG_ae28ffaf-575f-4fa5-851c-7942b8d5873d.jpeg,Media Office in Binnish
Ahmed Abdul Samad,2020,Iraq,Male,Dangerous Assignment,Confirmed,Broadcast Reporter,Staff,Dijlah TV,"Politics,War","Internet,Television",Local,Paramilitary Group,Confirmed,,,,,
Amjad Anas Aktalati,2020,Syria,Male,Crossfire,Confirmed,"Camera Operator,Photographer",Freelance,Freelance,War,Internet,Local,Military Officials,Confirmed,,,,,
Christoff Griffith,2020,Barbados,Male,Dangerous Assignment,Confirmed,Photographer,Staff,The Nation,"Politics,Crime",Print,Local,Criminal Group,Confirmed,,,,,
Jorge Miguel Armenta Ávalos,2020,Mexico,Male,Murder,Confirmed,Publisher/Owner,Staff,"Última Palabra,Medios Obson","Business,Corruption,Crime,Politics,Sports","Print,Internet",Local,"Criminal Group,Government Officials",Confirmed,No,No,Yes,,
Lourenço Veras,2020,Brazil,Male,Murder,Confirmed,"Editor,Internet Reporter,Publisher/Owner",Staff,Porã News,Crime,Internet,Foreign,"Criminal Group,Paramilitary Group",Confirmed,No,No,Yes,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/leo-veras-abraji.jpg_a9810b60-1a78-4b54-ba74-4c13af254916.jpeg,Bruno Miranda / Abraji
Maria Elena Ferral Hernández,2020,Mexico,Female,Murder,Confirmed,Reporter,Staff,"El Diario de Xalapa,El Quinto Poder","Crime,Politics","Internet,Print",Local,Unknown Fire,Confirmed,No,No,Yes,,
Nabil Hasan al-Quaety,2020,Yemen,Male,Murder,Confirmed,"Camera Operator,Photographer",Freelance,,"Politics,War","Internet,Television",Local,"Military Officials,Political Group",Confirmed,No,No,No,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/AlQuaetycap.jpg_faa0bbb9-50e9-4e01-a1d5-c58dd8295602.jpeg,Nabil Hasan/ Facebook/AFP
Pablo Morrugares Parraguirre,2020,Mexico,Male,Murder,Confirmed,"Editor,Publisher/Owner",Staff,PM Noticias,"Business,Corruption,Crime,Politics,Sports",Internet,Local,Criminal Group,Confirmed,No,No,Yes,,
Rex Cornelio Pepino,2020,Philippines,Male,Murder,Confirmed,Broadcast Reporter,Staff,Original Energy 93.7 FM,Politics,Radio,Local,Political Group,Confirmed,No,No,No,,
Safaa Ghali,2020,Iraq,Male,Dangerous Assignment,Confirmed,Camera Operator,Staff,Dijlah TV,"Politics,Sports","Internet,Television",Local,Paramilitary Group,Confirmed,,,,,
Shubham Mani Tripathi,2020,India,Male,Murder,Confirmed,Print Reporter,Staff,Kampu Mail,Politics,Print,Local,Criminal Group,Confirmed,No,No,No,,
Abdinasir Abdulle Ga’al,2019,Somalia,Male,Dangerous Assignment,Confirmed,"Broadcast Reporter,Camera Operator",Staff,Somali National Army Radio,War,"Radio,Internet",Local,Political Group,Confirmed,,,,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/somalia_abdinasir.jpg_7d835bb3-2dda-4a28-a601-ffe234e00e44.jpeg,Somali National Army Radio
Abdul Hameed al-Yousef,2019,Syria,Male,Crossfire,Confirmed,"Photographer,Camera Operator",Staff,Kafr Rumah Media Office,"Human Rights,War,Politics,Sports",Internet,Local,Military Officials,Confirmed,,,,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/syria_al_yousef_rs.jpg_0c58a981-3659-44fd-8eef-7b54ec461541.jpeg,Kafr Rumah Media Office
Ahmed Hussein-Suale Divela,2019,Ghana,Male,Murder,Confirmed,Broadcast Reporter,Staff,Tiger Eye Private Investigations,"Corruption,Crime,Human Rights,Sports,Politics",Documentary Film,Local,"Government Officials,Criminal Group",Confirmed,No,No,Yes,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/AhmedDivela-kill-cap-01-23-19.jpeg_d2ded120-6426-447d-9a46-d5f1aa3e9ba8.jpeg,Tiger Eye Private Investigations
Ahmed Muhana al-Lami,2019,Iraq,Male,Dangerous Assignment,Confirmed,"Camera Operator,Photographer",Freelance,Freelance,"Politics,War",Internet,Local,Paramilitary Group,Confirmed,,,,,
Alaa Nayef al-Khader al-Khalidi,2019,Syria,Male,Unknown,Confirmed,"Camera Operator,Photographer",Freelance,Douma Coordination Office,War,Internet,Local,Military Officials,Confirmed,,,,,
Amjad Hassan Bakir,2019,Syria,Male,Crossfire,Confirmed,"Camera Operator,Photographer",Freelance,Saraqib al-Hadath,War,Internet,Local,Military Officials,Confirmed,,,,,
Anas al-Dyab,2019,Syria,Male,Crossfire,Confirmed,"Camera Operator,Photographer",Freelance,Freelance,"Human Rights,War","Internet,Television",Local,Military Officials,Confirmed,,,,,
Eduardo Dizon,2019,Philippines,Male,Murder,Confirmed,Broadcast Reporter,Staff,Brigada News FM,"Corruption,Politics",Radio,Local,Criminal Group,Confirmed,No,No,Yes,,
Francisco Romero Díaz,2019,Mexico,Male,Murder,Confirmed,"Print Reporter,Internet Reporter",Staff,"Quintana Roo Hoy,Ocurrió Aquí,Quinta Fuerza","Crime,Politics",Print,Local,Criminal Group,Confirmed,No,No,Yes,,
